date,AQI,IPRC,PM2_5,PM10,SO2,NO2,CO,O3
2014/6/1,78,0.480804635,54.375,102.875,13.625,21,1.672916667,75.16666667
2014/6/2,101,0.587507938,71.33333333,140.25,12.95833333,23.875,1.959166667,82.83333333
2014/6/3,86,0.525599361,58.45833333,120.2083333,13.75,17.45833333,1.764166667,91
2014/6/4,59,0.364717171,33.95833333,65.54166667,10.08333333,17.79166667,1.666666667,50.54166667
2014/6/5,100,0.584368329,73.25,122.6666667,12.625,33.41666667,1.769583333,60.625
2014/6/6,76,0.440658623,40.39583333,99.375,10.95833333,30.25,1.443958333,33
2014/6/7,61,0.380547325,27.08333333,71.9375,12.16666667,32.91666667,1.33375,52.58333333
2014/6/8,69,0.444774677,34.875,87.91666667,14.875,38.41666667,1.47125,75.95833333
2014/6/9,85,0.538719243,45.875,118.6041667,25.89583333,46.3125,1.553125,72.97916667
2014/6/10,87,0.54532458,48.375,123.375,23.75,49.45833333,1.369166667,67.625
2014/6/11,80,0.506428305,44.97916667,107.9583333,20.6875,52.8125,1.298541667,59.45833333
2014/6/12,142,0.842754965,101.4375,195.0625,19.95833333,42.39583333,1.41375,66.27083333
2014/6/13,67,0.402118419,45.54166667,80,10.33333333,31.04166667,1.044583333,39.02083333
2014/6/14,74,0.436957759,53.66666667,83.33333333,8.604166667,31.625,1.188541667,29.47916667
2014/6/15,64,0.399112465,41.75,74.5625,9.291666667,33.91666667,1.280625,45.58333333
2014/6/16,70,0.439440541,42.04166667,86.85416667,11.6875,37.95833333,1.259375,66.89583333
2014/6/17,56,0.346281526,19.97916667,63.4375,9.604166667,24.75,1.183333333,67.85416667
2014/6/18,77,0.47914694,41.04166667,104.3125,14.41666667,42.79166667,1.245,62.95833333
2014/6/19,52,0.324978428,25.33333333,57.875,12.25,23.95833333,1.143958333,29.1875
2014/6/20,65,0.407407814,38.16666667,79.04166667,15.875,36.70833333,1.329166667,32.20833333
2014/6/21,69,0.433731275,38.6875,87.45833333,10.83333333,37.75,1.374791667,58
2014/6/22,75,0.471060031,47.54166667,97.72916667,12.0625,38.72916667,1.4025,66.52083333
2014/6/23,67,0.420594426,38.8125,82.0625,12.64583333,28.8125,1.435208333,65.35416667
2014/6/24,53,0.341555721,32.20833333,56.60416667,9.145833333,18.08333333,1.228125,64.875
2014/6/25,53,0.344466706,34.625,53.79166667,10.75,29.95833333,1.378333333,38.04166667
2014/6/26,67,0.435446298,41.45833333,79.54166667,13.39583333,37.64583333,1.555416667,74.02083333
2014/6/27,76,0.484467909,41.5625,97.27083333,19.54166667,42.29166667,1.4875,83.95833333
2014/6/28,87,0.541560039,61.25,121.875,18.375,45.45833333,1.58375,44.375
2014/6/29,58,0.357850898,37.29166667,50.5,12.02083333,28.4375,1.369583333,58.35416667
2014/6/30,100,0.601294908,71.9375,129,15.89583333,48.83333333,1.763541667,57.75
2014/7/1,103,0.616108421,70.72916667,145.3541667,18.75,46.02083333,1.631458333,76.6875
2014/7/2,69,0.422984853,28.20833333,79.45833333,13.08333333,40.125,1.255416667,92.04166667
2014/7/3,64,0.412243558,29.70833333,78.72916667,12.16666667,46.3125,1.113958333,60.4375
2014/7/4,78,0.487140883,40.375,103.1666667,14.41666667,50.875,1.116666667,74.95833333
2014/7/5,74,0.453008012,44.70833333,93,12.22916667,31.625,1.027708333,89.91666667
2014/7/6,76,0.472700167,45.04166667,99.5625,12.60416667,31.29166667,1.0675,101.7083333
2014/7/7,78,0.480906086,46.10416667,99.10416667,13.4375,37.16666667,1.115208333,100.2916667
2014/7/8,84,0.514224162,49.72916667,116.2083333,12.79166667,39.4375,1.061666667,87.41666667
2014/7/9,38,0.224603027,15.625,39.75,8.291666667,21.16666667,0.834583333,47.125
2014/7/10,26,0.173100865,13.66666667,25.58333333,5.458333333,21.91666667,0.85875,43.29166667
2014/7/11,48,0.283294299,21.75,48.70833333,7.5625,30.66666667,1.036666667,64.9375
2014/7/12,66,0.396894984,26.58333333,81.375,6.666666667,37.29166667,0.9825,66.41666667
2014/7/13,72,0.432314379,29.04166667,92.625,9.791666667,41.5,0.95625,71.70833333
2014/7/14,67,0.406575962,31.75,82.41666667,7.833333333,40.125,0.93875,58.875
2014/7/15,75,0.487887961,42,100,14,49,1.14,92
2014/7/16,81,0.486299197,38,111,11,47,1.12,62
2014/7/17,63,0.38389778,25,75,7,32,0.87,88
2014/7/18,66,0.400719218,35,82,6,26,0.94,81
2014/7/19,49,0.245815946,15,49,3,14,0.8,44
2014/7/20,38,0.198560019,11,38,4,17,0.85,27
2014/7/21,54,0.309371453,17,58,6,24,0.88,45
2014/7/22,69,0.400395511,26,87,9,27,0.95,74
2014/7/23,51,0.318379739,26,52,6,23,1.01,60
2014/7/24,52,0.332054458,16.20833333,54.29166667,10.33333333,32.54166667,0.887083333,78
2014/7/25,68,0.435862679,33.5,86.5,12.70833333,49.125,0.91875,69.29166667
2014/7/26,81,0.50665263,50.45833333,111.3541667,12.0625,44.10416667,1.063541667,81.22916667
2014/7/27,77,0.495915115,49.33333333,102.1875,12.02083333,36.14583333,1.116458333,109.2291667
2014/7/28,87,0.553900721,60.5625,123.8333333,12.54166667,36.125,1.081041667,114.4583333
2014/7/29,86,0.527296854,60.16666667,118.0833333,7.5,36.8125,1.158541667,93.70833333
2014/7/30,85,0.513461921,54.875,116.25,8.375,32.70833333,1.227083333,90.25
2014/7/31,91,0.527301692,64.04166667,113.875,7.208333333,26.41666667,1.080416667,102.625
2014/8/1,119,0.737210717,87.27083333,147.8958333,10.14583333,31.95833333,1.225,106.4375
2014/8/2,109,0.716485258,80.29166667,157.1666667,12.04166667,39.41666667,1.2625,102.875
2014/8/3,110,0.725993923,82.27083333,157.0416667,9.770833333,43.47916667,1.314583333,94.1875
2014/8/4,91,0.538062166,55.83333333,130.3333333,8.458333333,34.16666667,1.15,81.29166667
2014/8/5,79,0.483260837,52.875,105.75,8.8125,27.97916667,1.240208333,87.60416667
2014/8/6,77,0.43605117,53.95833333,82.70833333,8.375,26.66666667,1.299583333,33.20833333
2014/8/7,47,0.269618152,29.375,47.75,5.916666667,27.41666667,1.130833333,22.91666667
2014/8/8,35,0.212220265,21.5625,34.5625,3.75,27.25,1.102708333,28.85416667
2014/8/9,39,0.259653046,24.35416667,40.95833333,4.3125,30.70833333,1.321666667,65.22916667
2014/8/10,61,0.399851297,34.41666667,71.70833333,6.833333333,39.375,1.435833333,63.91666667
2014/8/11,79,0.501427712,52.75,103.0416667,6.041666667,49.5,1.55375,73.33333333
2014/8/12,59,0.390866708,37.16666667,73.54166667,6.916666667,45.5,1.259166667,22.83333333
2014/8/13,53,0.344513859,25.58333333,58.79166667,7.583333333,36.95833333,1.08,44.95833333
2014/8/14,58,0.374827494,27.70833333,64.54166667,12.16666667,42.95833333,0.95625,61.70833333
2014/8/15,67,0.452046489,33.72916667,83.83333333,13.75,56.77083333,1.062083333,62.58333333
2014/8/16,85,0.531036396,56.27083333,118.0625,16.27083333,54.47916667,1.402083333,37.25
2014/8/17,79,0.479188524,56.625,98.16666667,15.83333333,36.70833333,1.4425,33.25
2014/8/18,78,0.46537304,53.14583333,89.83333333,17.54166667,34.25,1.343333333,59.04166667
2014/8/19,77,0.498645724,48.4375,104.125,16.45833333,51.27083333,1.110833333,68.66666667
2014/8/20,87,0.555590461,52.64583333,124.125,19.9375,60.64583333,1.226666667,60.14583333
2014/8/21,107,0.714607787,77.64583333,158.8125,18.54166667,52.75,1.328333333,68.14583333
2014/8/22,77,0.481275744,50.875,102.0416667,16.83333333,39.83333333,1.121666667,61.29166667
2014/8/23,72,0.44398939,36.14583333,93.5625,15.79166667,45.25,1.080625,46.4375
2014/8/24,55,0.354998472,20.83333333,62.83333333,14.08333333,40.58333333,0.910416667,50.41666667
2014/8/25,67,0.456732839,26.58333333,84.58333333,19.75,60,1.053333333,46.70833333
2014/8/26,93,0.589948371,49.91666667,134.7916667,26.54166667,67.95833333,1.393333333,57.875
2014/8/27,65,0.409487156,36.83333333,80.35416667,13.25,29.77083333,1.095833333,66.89583333
2014/8/28,59,0.380704212,31.5,68.79166667,13.60416667,33.29166667,1.087708333,60.47916667
2014/8/29,64,0.403320498,37.66666667,76.3125,13.0625,32.60416667,1.124166667,60.375
2014/8/30,41,0.262600191,21.91666667,46.16666667,7.375,28.29166667,1.10375,34.875
2014/8/31,48,0.325902852,26.29166667,52.125,7.166666667,32.91666667,1.229583333,33
2014/9/1,69,0.426426554,46.08333333,82.4375,9.979166667,43.89583333,1.507708333,23.27083333
2014/9/2,58,0.380049187,32.85416667,67.83333333,11.95833333,39.29166667,1.303541667,38.8125
2014/9/3,52,0.372321597,22.125,56.375,16.25,47.0625,1.056666667,48.3125
2014/9/4,72,0.493320611,40.89583333,93.45833333,20.91666667,60.97916667,1.234791667,53.9375
2014/9/5,84,0.531698389,51.6875,113.75,17.54166667,56.875,1.441041667,61.25
2014/9/6,73,0.46663467,45.66666667,95.45833333,14.45833333,44.66666667,1.169583333,63.20833333
2014/9/7,71,0.429311729,50.58333333,81.66666667,6.958333333,35.91666667,1.282916667,35.91666667
2014/9/8,58,0.363970756,39.54166667,64.125,6.916666667,32.25,1.267916667,28.625
2014/9/9,61,0.391466362,43.125,66.89583333,6.604166667,31.3125,1.710208333,37.3125
2014/9/10,60,0.372054422,42.29166667,64,7.25,33.33333333,1.329166667,19.83333333
2014/9/11,66,0.391072899,45.95833333,76.0625,6.1875,26.41666667,1.052083333,44.39583333
2014/9/12,35,0.218721671,21.875,36.25,7.416666667,25.25,0.98875,30.375
2014/9/13,34,0.226514969,21.33333333,33.14583333,7.895833333,30.20833333,1.12125,29.1875
2014/9/14,23,0.234558328,14.33333333,21,5.291666667,35.375,1.255416667,26.29166667
2014/9/15,20,0.214090018,12.79166667,18.58333333,8.291666667,30.04166667,1.516666667,28.54166667
2014/9/16,28,0.221381091,17.29166667,26.58333333,8,30.70833333,1.340416667,21.29166667
2014/9/17,30,0.248555494,18.14583333,30.22916667,7.8125,35.5,1.479583333,17.91666667
2014/9/18,55,0.37024471,32.9375,60.16666667,10.375,38.66666667,1.689166667,31.9375
2014/9/19,72,0.467166791,45.10416667,92.91666667,13.83333333,49.5625,1.694166667,38.60416667
2014/9/20,88,0.561223147,60.75,124.3125,14.47916667,56.52083333,1.734375,47.375
2014/9/21,90,0.560495813,63.70833333,127.7916667,14.58333333,50.29166667,1.562083333,50.375
2014/9/22,71,0.440253579,42.95833333,90.5,14.1875,40.97916667,1.10125,45.5
2014/9/23,42,0.259521848,21.79166667,46,10.5625,34.89583333,0.936875,17.77083333
2014/9/24,59,0.393803957,30.95833333,67.33333333,17.04166667,48.45833333,1.1975,34.29166667
2014/9/25,93,0.554842226,64.75,129.375,17.45833333,55.66666667,1.319583333,21.04166667
2014/9/26,112,0.725859641,83.64583333,155.5,18.3125,51.4375,1.46625,40.25
2014/9/27,106,0.686800498,78.875,145.9166667,15.45833333,55.08333333,1.527083333,18
2014/9/28,33,0.233804762,21.95833333,35.04166667,8.375,30.72916667,1.028541667,38.85416667
2014/9/29,48,0.331792741,27.125,51.04166667,9.708333333,37.375,1.166666667,36.79166667
2014/9/30,61,0.380458417,36.41666667,72.70833333,11.08333333,30.16666667,1.08875,42.08333333
2014/10/1,66,0.389660965,42.66666667,75.29166667,11.125,33.04166667,1.265416667,20.29166667
2014/10/2,89,0.514067954,42.8125,128.0416667,11.52083333,47.47916667,1.410625,18.5625
2014/10/3,110,0.706510721,72.58333333,169.9583333,18.54166667,47.33333333,1.427083333,36
2014/10/4,95,0.557285595,57.49166667,138.5083333,17.23333333,46.225,1.363916667,25.68333333
2014/10/5,74,0.457947562,35.8,98.36666667,17.6,52.48333333,1.178583333,28.19166667
2014/10/6,118,0.74571223,86.58333333,152.9375,22.20833333,45.70833333,1.389166667,60.5
2014/10/7,147,0.917465156,111.6666667,196.1666667,26.22916667,57.58333333,1.48375,53.02083333
2014/10/8,224,1.538474265,173.6875,303.5416667,27.52083333,73,1.841875,37.97916667
2014/10/9,254,1.686202595,203.8333333,321.5416667,25,64.66666667,1.85,63.375
2014/10/10,130,0.824924758,98.10416667,180.125,20.6875,42.79166667,1.264791667,87.54166667
2014/10/11,92,0.504049541,53.16666667,126.5208333,15.0625,33.14583333,0.9425,30.375
2014/10/12,42,0.237220743,19.25,42.125,13.58333333,27.20833333,0.789583333,20.58333333
2014/10/13,48,0.275673677,22,48.75,19.375,32.58333333,0.88125,22.625
2014/10/14,65,0.414072809,36.27083333,78.54166667,17.33333333,47.45833333,1.316666667,23.3125
2014/10/15,78,0.488489945,47.16666667,104.9791667,23.375,52.6875,1.470625,12.4375
2014/10/16,119,0.78139899,85.29166667,178.9375,29.97916667,69.1875,1.697291667,13.1875
2014/10/17,108,0.695389173,76.77083333,143.2083333,25.5625,54.375,1.606041667,30.875
2014/10/18,123,0.789083705,90.33333333,165.2708333,29.0625,61.375,1.646041667,24.97916667
2014/10/19,141,0.878740128,106.7291667,185.9166667,21.9375,59.95833333,1.799375,26.70833333
2014/10/20,102,0.663735782,75.66666667,132.625,17.16666667,52.5,1.789166667,8.75
2014/10/21,121,0.762426212,91.125,156.4166667,14.29166667,57.54166667,1.506666667,24.75
2014/10/22,157,0.999250152,118.75,211.3125,14.625,53.14583333,1.476458333,11.625
2014/10/23,100,0.595667132,70.75,142.7708333,16.60416667,53.39583333,1.812916667,19.08333333
